agency,route_id,direction_id,median_headway_min,n_gaps
nctd,334,0,44.0,22
nctd,306,0,48.0,20
nctd,398,0,50.0,14
nctd,398,1,50.0,14
nctd,311,1,51.0,5
nctd,311,0,56.0,7
nctd,313,1,58.0,13
nctd,445,1,58.0,5
nctd,315,1,59.0,17
nctd,308,0,59.5,14
nctd,325,0,59.5,12
nctd,306,1,60.0,20
nctd,308,1,60.0,14
nctd,313,0,60.0,13
nctd,315,0,60.0,17
nctd,318,0,60.0,15
nctd,318,1,60.0,14
nctd,323,0,60.0,12
nctd,323,1,60.0,12
nctd,325,1,60.0,11
nctd,353,0,60.0,14
nctd,353,1,60.0,14
nctd,355,1,60.0,14
nctd,357,0,60.0,11
nctd,392,0,60.0,14
nctd,392,1,60.0,14
nctd,445,0,60.0,5
nctd,371,1,107.0,4
nctd,371,0,110.0,3
nctd,388,1,118.0,9
nctd,358,0,120.0,7
nctd,359,1,120.0,7
nctd,388,0,120.0,9
nctd,604,1,126.0,1
nctd,623,0,139.0,1
nctd,395,0,175.0,1
nctd,395,1,180.0,1
