GEOID,intersects_study_bbox,n_osm_hospitals,n_osm_groceries,n_osm_schools
06073003213,True,0,0,0
06073003214,True,0,2,0
06073003301,True,0,0,3
06073003303,True,0,0,1
06073003304,True,0,1,1
06073003305,True,1,1,5
06073003401,True,0,1,1
06073003403,True,0,0,0
06073003404,True,0,1,7
06073003501,True,0,0,0
06073003502,True,0,1,2
06073003601,True,0,0,3
06073003602,True,0,1,1
06073003603,True,0,0,1
06073003800,True,0,3,1
06073003901,True,0,0,1
06073003902,True,1,1,2
06073004000,True,0,0,6
06073004101,True,0,0,1
06073004102,True,0,1,0
06073004200,True,0,1,2
06073004300,True,0,2,0
06073004400,True,0,3,1
06073004501,True,0,0,0
06073004600,True,0,0,1
06073004700,True,0,0,1
06073004800,True,0,0,0
06073004900,True,0,0,2
06073005000,True,0,1,0
06073005101,True,0,1,0
06073005102,True,0,2,2
06073005103,True,0,1,2
06073005201,True,0,7,3
06073005202,True,0,4,1
06073005301,True,1,7,1
06073005302,True,0,2,2
06073005401,True,0,3,0
06073005402,True,0,2,0
06073005403,True,0,2,0
06073005500,True,1,0,0
06073005601,True,0,1,4
06073005602,True,0,2,4
06073005700,True,1,0,2
06073005801,True,0,5,2
06073005802,True,0,4,0
06073005900,True,0,1,0
06073006000,True,1,1,1
06073006100,True,0,1,0
06073006200,True,0,5,0
06073006300,True,0,0,0
06073006500,True,2,13,3
06073006600,True,0,3,2
06073006801,True,0,3,0
06073006802,True,0,6,1
06073006900,True,0,3,2
06073007002,True,0,0,2
06073007100,True,0,2,1
06073007200,True,0,0,5
06073007302,True,0,0,2
06073007303,True,0,0,0
06073007304,True,0,1,0
06073007401,True,0,0,2
06073007402,True,0,1,1
06073007501,True,0,3,0
06073007502,True,0,1,4
06073007601,True,3,3,0
06073007602,True,0,0,1
06073007701,True,0,0,0
06073007702,True,0,0,2
06073007800,True,1,4,4
06073007905,True,0,1,0
06073007907,True,1,2,1
06073007908,True,0,1,0
06073007910,True,1,2,1
06073007911,True,0,4,0
06073007912,True,0,0,4
06073008002,True,0,0,0
06073008003,True,0,1,0
06073008006,True,0,1,3
06073008101,True,0,4,1
06073008102,True,0,1,1
06073008201,True,2,4,4
06073008202,True,0,1,0
06073008301,True,0,0,0
06073008303,True,0,1,4
06073008305,True,7,8,6
06073008306,True,0,0,1
06073008307,True,0,2,3
06073008310,True,0,0,1
06073008311,True,0,0,1
06073008312,True,2,2,0
06073008313,True,0,0,1
06073008324,True,0,3,1
06073008327,True,0,2,3
06073008328,True,0,0,1
06073008330,True,0,0,1
06073008331,True,0,0,3
06073008336,True,0,0,0
06073008337,True,0,0,1
06073008339,True,1,0,2
06073008343,True,0,0,1
06073008344,True,0,1,3
06073008345,True,0,2,0
06073008346,True,3,2,1
06073008347,True,0,0,1
06073008348,True,0,0,1
06073008349,True,1,4,2
06073008350,True,0,8,3
06073008351,True,0,5,1
06073008352,True,0,3,1
06073008353,True,0,0,0
06073008355,True,0,7,1
06073008356,True,0,0,0
06073008357,True,0,1,1
06073008358,True,0,2,6
06073008359,True,0,2,2
06073008360,True,0,5,1
06073008361,True,5,2,0
06073008362,True,0,3,0
06073008363,True,0,2,0
06073008364,True,0,0,0
06073008365,True,0,0,0
06073008366,True,0,1,1
06073008367,True,0,2,1
06073008368,True,0,0,3
06073008369,True,2,7,4
06073008370,True,2,2,0
06073008371,True,0,0,1
06073008372,True,3,1,1
06073008373,True,2,0,1
06073008374,True,0,0,4
06073008375,True,0,0,0
06073008376,True,1,5,0
06073008377,True,1,0,0
06073008378,True,0,1,0
06073008379,True,0,0,0
06073008380,True,0,1,0
06073008381,True,0,0,0
06073008501,True,0,1,1
06073008502,True,0,2,1
06073008503,True,0,0,3
06073008504,True,1,6,5
06073008505,True,0,0,4
06073008506,True,0,2,0
06073008507,True,0,1,5
06073008509,True,0,9,3
06073008510,True,0,3,3
06073008511,True,4,21,6
06073008512,True,0,0,2
06073008513,True,0,0,5
06073008600,True,0,1,5
06073008701,True,0,1,6
06073008702,True,6,2,3
06073008800,True,0,3,0
06073008901,True,0,1,5
06073008902,True,0,0,0
06073009000,True,0,0,1
06073009101,True,1,2,2
06073009102,True,0,1,4
06073009103,True,0,0,1
06073009104,True,0,0,5
06073009107,True,0,1,0
06073009108,True,0,2,0
06073009109,True,0,1,4
06073009201,True,2,0,2
06073009203,True,0,0,1
06073009204,True,0,0,2
06073009301,True,0,2,4
06073009305,True,0,0,1
06073009306,True,0,2,1
06073009307,True,2,2,4
06073009308,True,0,2,0
06073009400,True,0,1,0
06073009502,True,0,4,3
06073009504,True,0,0,6
06073009505,True,0,0,3
06073009506,True,0,0,0
06073009507,True,0,0,0
06073009509,True,0,2,2
06073009510,True,0,0,2
06073009511,True,0,0,1
06073009602,True,0,0,2
06073009603,True,0,3,0
06073009604,True,1,6,4
06073009703,True,0,2,2
06073009704,True,0,0,1
06073009705,True,0,0,1
06073009706,True,0,2,3
06073009801,True,0,1,2
06073009802,True,0,4,2
06073009804,True,0,2,1
06073009805,True,0,0,0
06073009901,True,0,0,0
06073009902,True,0,0,0
06073010001,True,0,2,2
06073010003,True,0,0,1
06073010004,True,0,0,1
06073010005,True,0,2,2
06073010009,True,0,1,2
06073010010,True,0,1,2
06073010011,True,0,2,2
06073010012,True,0,0,0
06073010013,True,0,4,3
06073010015,True,0,10,5
06073010016,True,0,2,1
06073010017,True,0,1,2
06073010018,True,0,0,0
06073010019,True,2,1,0
06073010103,True,0,4,1
06073010104,True,0,0,1
06073010106,True,0,4,1
06073010107,True,0,1,1
06073010109,True,0,0,0
06073010110,True,0,4,4
06073010111,True,0,1,1
06073010112,True,0,2,3
06073010201,True,0,3,1
06073010202,True,0,1,3
06073010300,True,0,0,3
06073010401,True,0,1,1
06073010402,True,0,1,0
06073010501,True,0,0,2
06073010502,True,2,4,3
06073010601,True,0,0,0
06073010800,True,0,1,5
06073010900,True,0,1,1
06073011000,True,1,3,1
06073011100,True,0,0,1
06073011300,True,0,2,0
06073011601,True,0,0,0
06073011602,True,0,3,5
06073011700,True,0,5,5
06073011801,True,0,0,0
06073011802,True,0,2,0
06073011902,True,1,2,3
06073012002,True,0,1,0
06073012003,True,0,3,3
06073012101,True,0,1,0
06073012102,True,1,0,4
06073012200,True,0,1,0
06073012302,True,1,2,1
06073012303,True,0,1,1
06073012304,True,0,0,0
06073012401,True,0,3,0
06073012402,True,0,2,2
06073012501,True,0,1,0
06073012502,True,0,2,1
06073012600,True,0,3,2
06073012700,True,2,1,2
06073012800,True,0,1,1
06073012900,True,0,1,2
06073013000,True,2,4,1
06073013102,True,2,2,3
06073013103,True,0,0,1
06073013104,True,0,3,1
06073013203,True,0,4,3
06073013204,True,0,3,2
06073013205,True,0,3,0
06073013206,True,0,3,2
06073013301,True,0,1,3
06073013302,True,0,0,1
06073013303,True,0,2,2
06073013306,True,0,5,1
06073013307,True,0,2,2
06073013308,True,0,1,0
06073013309,True,0,0,2
06073013312,True,0,0,1
06073013315,True,0,0,0
06073013316,True,0,3,2
06073013317,True,0,3,6
06073013318,True,0,0,4
06073013319,True,0,3,4
06073013320,True,0,0,0
06073013321,True,0,1,1
06073013322,True,0,0,1
06073013323,True,0,0,1
06073013324,True,0,0,0
06073013325,True,1,1,0
06073013326,True,0,0,1
06073013327,True,1,1,0
06073013401,True,0,2,4
06073013409,True,1,3,2
06073013411,True,0,0,0
06073013412,True,0,1,3
06073013414,True,0,0,3
06073013415,True,0,0,14
06073013416,True,0,1,3
06073013417,True,0,0,1
06073013418,True,0,0,0
06073013420,True,0,2,1
06073013421,True,0,1,1
06073013422,True,0,2,1
06073013423,True,0,0,1
06073013424,True,2,2,2
06073013425,True,0,0,3
06073013503,True,0,8,2
06073013504,True,0,0,1
06073013505,True,1,0,1
06073013506,True,0,1,0
06073013601,True,0,3,3
06073013604,True,0,1,2
06073013605,True,0,1,2
06073013607,True,1,2,2
06073013608,True,0,1,2
06073013701,True,0,1,3
06073013702,True,0,0,0
06073013801,True,0,2,2
06073013802,True,0,1,0
06073013903,True,0,3,3
06073013905,True,0,0,0
06073013906,True,0,0,2
06073013907,True,0,0,0
06073013908,True,0,6,2
06073013909,True,0,1,0
06073014001,True,0,1,1
06073014002,True,0,0,3
06073014101,True,0,0,1
06073014102,True,0,1,4
06073014200,True,0,0,2
06073014300,True,0,0,0
06073014400,True,0,4,3
06073014500,True,0,0,1
06073014601,True,0,1,3
06073014602,True,0,1,1
06073014701,True,1,0,0
06073014702,True,0,2,1
06073014803,True,1,3,3
06073014804,True,1,2,0
06073014805,True,3,0,2
06073014806,True,0,1,4
06073014901,True,0,1,2
06073014902,True,0,3,0
06073015001,True,0,3,1
06073015002,True,1,2,1
06073015100,True,0,1,2
06073015200,True,0,0,0
06073015301,True,0,2,0
06073015302,True,0,1,2
06073015403,True,0,1,0
06073015405,True,0,0,1
06073015406,True,0,0,1
06073015407,True,0,0,1
06073015408,True,1,1,0
06073015501,True,0,1,3
06073015502,True,1,1,2
06073015601,True,0,9,1
06073015602,True,0,0,5
06073015701,True,0,7,1
06073015704,True,0,3,2
06073015705,True,0,1,0
06073015706,True,0,2,0
06073015801,True,1,2,1
06073015802,True,1,1,2
06073015901,True,0,0,0
06073015902,True,0,2,1
06073016000,True,1,1,1
06073016100,True,0,1,1
06073016201,True,0,1,3
06073016202,True,1,6,3
06073016301,True,0,1,1
06073016302,True,0,4,1
06073016401,True,4,4,3
06073016403,True,0,3,1
06073016404,True,0,1,0
06073016502,True,0,1,0
06073016503,True,0,1,0
06073016504,True,0,2,1
06073016606,True,0,0,2
06073016607,True,0,2,2
06073016608,True,0,0,0
06073016609,True,0,0,1
06073016610,True,0,1,0
06073016613,True,0,0,0
06073016614,True,0,4,1
06073016615,True,0,2,4
06073016616,True,3,4,1
06073016617,True,1,1,0
06073016618,True,0,0,0
06073016619,True,0,0,2
06073016620,True,0,1,0
06073016621,True,0,0,1
06073016703,True,0,0,0
06073016704,True,0,1,2
06073016705,True,0,5,2
06073016706,True,0,0,1
06073016804,True,0,4,6
06073016806,True,0,0,2
06073016807,True,0,0,1
06073016809,True,0,4,0
06073016810,True,0,0,1
06073016811,True,0,1,1
06073016812,True,0,0,1
06073016813,True,0,0,1
06073016901,True,0,2,3
06073016902,True,0,2,1
06073017006,True,0,1,0
06073017009,True,0,3,2
06073017010,True,0,1,1
06073017014,True,1,4,0
06073017018,True,0,2,0
06073017020,True,0,0,1
06073017021,True,0,1,0
06073017022,True,0,3,4
06073017031,True,0,1,1
06073017033,True,0,1,3
06073017034,True,0,0,1
06073017035,True,0,0,2
06073017036,True,1,2,0
06073017037,True,0,1,2
06073017039,True,0,2,2
06073017040,True,0,3,2
06073017041,True,1,5,1
06073017043,True,2,2,0
06073017044,True,0,0,2
06073017045,True,0,1,0
06073017046,True,0,0,0
06073017047,True,0,2,1
06073017048,True,0,4,1
06073017049,True,0,1,0
06073017050,True,0,6,5
06073017051,True,0,1,3
06073017052,True,0,0,1
06073017053,True,0,0,2
06073017054,True,1,0,3
06073017055,True,1,4,2
06073017056,True,1,1,0
06073017057,True,0,0,0
06073017058,True,2,2,0
06073017059,True,0,0,0
06073017060,True,0,0,0
06073017061,True,0,0,3
06073017062,True,0,0,3
06073017063,True,0,0,0
06073017064,True,0,0,1
06073017065,True,0,2,5
06073017066,True,0,0,1
06073017067,True,0,2,2
06073017068,True,0,2,0
06073017069,True,0,1,1
06073017070,True,0,2,2
06073017071,True,2,0,2
06073017104,True,0,1,1
06073017106,True,1,1,3
06073017107,True,0,0,1
06073017108,True,1,5,2
06073017109,True,0,3,3
06073017111,True,0,0,1
06073017112,True,0,0,1
06073017113,True,0,1,1
06073017201,True,0,0,1
06073017202,True,0,2,0
06073017303,True,0,0,4
06073017305,True,0,0,1
06073017306,True,1,3,3
06073017307,True,0,0,2
06073017308,True,1,3,4
06073017403,True,1,2,2
06073017405,True,0,1,2
06073017406,True,0,1,2
06073017407,True,0,4,3
06073017408,True,0,1,0
06073017501,True,1,2,1
06073017502,True,0,7,5
06073017601,True,0,4,1
06073017603,True,0,2,0
06073017605,True,0,1,0
06073017606,True,0,4,0
06073017701,True,0,3,1
06073017702,True,0,0,2
06073017801,True,0,1,5
06073017808,True,0,0,0
06073017809,True,0,1,4
06073017810,True,0,1,1
06073017811,True,2,3,2
06073017813,True,1,4,0
06073017901,True,2,3,0
06073017902,True,0,1,1
06073018000,True,0,1,1
06073018101,True,0,0,1
06073018102,True,0,1,0
06073018201,True,0,1,3
06073018202,True,0,0,0
06073018301,True,0,0,0
06073018302,True,0,1,0
06073018400,True,0,4,1
06073018504,True,1,7,3
06073018509,True,0,5,0
06073018510,True,0,2,1
06073018511,True,0,0,1
06073018512,True,0,3,0
06073018515,True,0,0,1
06073018516,True,0,0,1
06073018517,True,1,0,2
06073018518,True,1,0,0
06073018519,True,0,3,3
06073018520,True,0,1,0
06073018521,True,0,1,2
06073018522,True,0,1,3
06073018523,True,0,0,0
06073018524,True,0,3,0
06073018525,True,0,0,3
06073018601,True,0,1,0
06073018608,True,0,0,0
06073018609,True,0,0,0
06073018612,True,0,0,1
06073018613,True,0,1,1
06073018615,True,0,0,1
06073018616,True,0,5,3
06073018617,True,0,0,0
06073018618,True,0,1,1
06073018619,True,0,0,1
06073018620,True,0,0,0
06073018621,True,0,1,0
06073018622,True,0,0,0
06073018700,True,2,2,4
06073018801,True,0,0,2
06073018803,True,0,0,3
06073018804,True,0,2,0
06073018805,True,0,2,0
06073018903,False,0,0,0
06073018904,False,0,0,0
06073018905,False,0,0,0
06073018906,True,0,0,0
06073019001,False,0,0,0
06073019002,True,0,0,0
06073019103,True,0,0,1
06073019105,True,0,2,0
06073019107,True,0,0,0
06073019108,True,0,2,0
06073019109,True,0,1,2
06073019110,True,1,2,0
06073019111,True,0,1,4
06073019203,True,0,0,0
06073019205,True,0,2,2
06073019206,True,0,2,1
06073019208,True,0,1,0
06073019209,True,0,0,1
06073019210,True,0,3,3
06073019301,True,0,0,1
06073019303,True,0,0,2
06073019304,True,0,0,0
06073019305,True,0,0,1
06073019403,True,0,3,1
06073019404,True,0,2,3
06073019405,True,1,2,1
06073019406,True,0,1,4
06073019501,True,0,0,2
06073019502,True,0,1,0
06073019503,True,1,4,4
06073019601,True,0,1,1
06073019602,True,0,1,2
06073019701,True,1,1,1
06073019702,True,2,1,1
06073019803,True,0,8,2
06073019804,True,0,0,0
06073019805,True,0,0,0
06073019808,True,0,0,1
06073019809,True,0,0,4
06073019810,True,0,1,6
06073019811,True,1,2,0
06073019902,True,0,5,3
06073019903,True,0,0,0
06073019904,True,0,2,0
06073019905,True,0,2,0
06073020015,True,0,2,0
06073020017,True,0,2,1
06073020019,True,0,3,0
06073020021,True,0,2,5
06073020023,True,0,1,2
06073020024,True,0,0,1
06073020025,True,0,2,1
06073020026,True,3,3,2
06073020028,True,0,1,1
06073020029,True,0,10,2
06073020030,True,1,3,2
06073020031,True,0,1,1
06073020032,True,0,0,0
06073020033,True,0,0,1
06073020034,True,0,0,0
06073020035,True,0,0,6
06073020036,True,0,1,0
06073020037,True,0,0,1
06073020038,True,0,1,3
06073020039,True,0,0,0
06073020040,True,0,1,2
06073020041,True,0,0,0
06073020042,True,0,1,0
06073020043,True,0,0,2
06073020044,True,0,0,0
06073020105,True,0,1,2
06073020106,True,0,0,1
06073020107,True,0,0,2
06073020108,True,0,3,1
06073020109,True,0,0,1
06073020110,True,0,0,0
06073020111,True,0,0,1
06073020202,True,3,8,1
06073020206,True,0,0,1
06073020207,True,0,0,4
06073020208,True,0,3,1
06073020209,True,0,3,0
06073020210,True,0,1,0
06073020211,True,0,6,1
06073020213,True,0,1,0
06073020214,True,0,13,2
06073020304,True,0,0,0
06073020305,True,0,5,1
06073020308,True,0,0,0
06073020309,True,3,2,1
06073020310,True,0,2,1
06073020311,True,0,0,0
06073020312,True,0,0,0
06073020313,True,2,11,0
06073020401,True,0,0,0
06073020403,True,1,3,1
06073020404,True,0,0,1
06073020405,True,0,1,1
06073020500,True,0,6,3
06073020601,True,1,1,3
06073020602,True,0,0,0
06073020705,True,0,0,0
06073020706,True,0,0,2
06073020707,True,0,2,1
06073020708,True,0,0,2
06073020710,True,0,2,0
06073020711,True,0,0,3
06073020712,True,0,0,4
06073020801,True,0,0,3
06073020805,True,0,0,1
06073020806,True,1,6,3
06073020807,True,0,0,0
06073020810,True,0,0,1
06073020811,True,0,0,0
06073020812,True,0,0,0
06073020813,True,0,2,1
06073020902,False,0,0,0
06073020903,True,0,1,1
06073020904,False,0,0,0
06073021001,False,0,0,0
06073021002,False,0,0,0
06073021101,False,0,0,0
06073021102,False,0,0,0
06073021202,False,0,0,0
06073021204,True,0,0,0
06073021205,True,0,0,0
06073021206,True,0,0,0
06073021302,True,0,1,0
06073021304,True,0,0,3
06073021305,True,0,6,3
06073021306,True,0,0,0
06073021401,True,2,6,5
06073021402,True,0,3,0
06073021501,True,0,0,1
06073021502,True,2,2,4
06073021600,True,0,0,1
06073021800,True,0,0,1
06073021900,True,1,2,2
06073022000,True,0,3,0
06073022101,True,0,3,1
06073022102,True,0,2,3
06073990100,True,0,0,0
